DISQUE_UTILISE:9
DISQUE_TOTAL:1007
DISQUE_POURCENTAGE:0
PROCESSEUR_POURCENTAGE:0.1
NOMBRE_PROCESSUS:63
RAM_UTILISE:971
RAM_LIBRE:14632
RAM_TOTAL:15876
RAM_UTILISE_POURCENTAGE:7.8
NOMBRE_USERS:2
