DISQUE_UTILISE:9
DISQUE_TOTAL:1007
DISQUE_POURCENTAGE:0
PROCESSEUR_POURCENTAGE:5.7
NOMBRE_PROCESSUS:70
RAM_UTILISE:1018
RAM_LIBRE:14584
RAM_TOTAL:15876
RAM_UTILISE_POURCENTAGE:8.1
NOMBRE_USERS:2
