DISQUE_UTILISE:9
DISQUE_TOTAL:1007
DISQUE_POURCENTAGE:0
PROCESSEUR_POURCENTAGE:1.6
NOMBRE_PROCESSUS:65
RAM_UTILISE:1023
RAM_LIBRE:14579
RAM_TOTAL:15876
RAM_UTILISE_POURCENTAGE:8.2
NOMBRE_USERS:2
